;6000;6050;6100;6150;6200;6250;6300;6350;6400;6450;6500;6550;6600;6650;6700;6750;6800;6850;6900;6950;7000;7050;7100;7150;7200;7250;7300;7350;7400;7450;7500;7550;7600;7650;7700;7750;7800;7850;7900;7950;8000;
seq;603899;611278;622470;631760;636389;651300;657457;670742;674134;689147;695552;708339;734894;731903;749177;926620;787861;883953;783328;791709;799116;813296;825657;837821;846323;850327;921965;887835;891754;898059;916220;927598;937225;948339;960837;961951;988142;991503;1015083;1018765;1023226;
par;658546;669599;667896;673478;683806;679456;685078;692925;697305;700141;706725;718700;721014;717297;769102;918417;848600;919173;743149;750819;755844;757950;791555;773507;772643;780394;962734;805094;798100;806214;806975;813239;812993;810018;815413;820600;849324;855445;865157;873289;882908;
;
seq;11707,51766;11808,22477;11897,06406;11957,01735;12049,55262;12136,10069;12219,99403;12334,18393;12386,33458;12481,33392;12566,45423;12663,36061;12792,33773;12888,99384;13015,27429;13092,77159;13173,85472;13285,21763;13380,55537;13451,44735;13534,11115;13600,17998;13693,72847;13805,13037;13935,89971;14011,00651;14106,12119;14195,90649;14294,19476;14428,16596;14518,23787;14644,00402;14773,31848;14869,74963;14993,30810;15057,29617;15155,63603;15226,06956;15311,41102;15388,06133;15465,45636;
par;11707,51766;11808,22477;11897,06406;11957,01735;12049,55262;12136,10069;12219,99403;12334,18393;12386,33458;12481,33392;12566,45423;12663,36061;12792,33773;12888,99384;13015,27429;13092,77159;13173,85472;13285,21763;13380,55537;13451,44735;13534,11115;13600,17998;13693,72847;13805,13037;13935,89971;14011,00651;14106,12119;14195,90649;14294,19476;14428,16596;14518,23787;14644,00402;14773,31848;14869,74963;14993,30810;15057,29617;15155,63603;15226,06956;15311,41102;15388,06133;15465,45636;
