;3350;4460;5570;6680;7790;8900;
seq;215;381;542;758;1009;
par;469;532;631;761;852;
;
seq;6415,59874;8719,88933;10785,27283;12965,74545;15140,22161;
par;6415,59874;8719,88933;10785,27283;12965,74545;15140,22161;
;
generate;3;45;4;55;5;51;6;46;8;51;
map;24;51;32;61;40;50;47;70;55;79;
merge;5;30;7;25;9;20;10;22;12;23;
sort;164;319;312;429;457;495;656;613;890;691;
reduce;18;23;25;28;31;26;37;28;42;30;
;
